islem_id,plaka,gecis_tarihi,tutar,gecis_noktasi,operator
TX00001,15 AG 3757,2026-08-07 08:06,8.5,TEM Otoyol G.,HGS-C
TX00002,05 AF 8379,2026-08-20 00:35,17.5,TEM Otoyol G.,HGS-C
TX00003,54 FN 206,2026-08-25 05:44,35.75,Fatih SM G.,HGS-B
TX00003,54 FN 206,2026-08-25 05:44,35.75,Fatih SM G.,HGS-B
TX00004,44 CI 5981,2026-08-28 11:38,22.0,Kavacık G.,HGS-C
TX00005,16 ZI 9144,2026-08-10 20:39,22.0,Avrasya Tüneli,HGS-A
TX00006,06 PS 1407,2026-08-28 07:55,13.25,15 Temmuz Köprüsü,HGS-B
TX00007,47 DI 4474,2026-08-23 21:41,13.25,Avrasya Tüneli,HGS-C
TX00008,32 DI 9225,2026-08-08 21:20,13.25,Zincirlikuyu G.,HGS-A
TX00009,52 GE 9392,2026-08-29 22:20,17.5,TEM Otoyol G.,HGS-B
TX00010,59 DD 9297,2026-08-18 08:47,44.0,15 Temmuz Köprüsü,HGS-C
TX00011,29 ZD 8185,2026-08-03 01:55,13.25,Zincirlikuyu G.,HGS-C
TX00011,29 ZD 8185,2026-08-03 01:55,13.25,Zincirlikuyu G.,HGS-C
TX00012,55 NI 9863,2026-08-15 16:16,44.0,Kavacık G.,HGS-C
TX00013,69 SS 5673,2026-08-04 09:27,17.5,15 Temmuz Köprüsü,HGS-A
TX00014,34 ZS 8417,2026-08-30 03:55,8.5,Fatih SM G.,HGS-C
TX00015,26 DS 8937,2026-08-25 16:58,13.25,Avrasya Tüneli,HGS-B
TX00016,15 YV 5138,2026-08-08 01:15,44.0,Kavacık G.,HGS-A
TX00017,09 ZM 2160,2026-08-05 21:30,44.0,Zincirlikuyu G.,HGS-B
TX00018,78 JE 8935,2026-08-25 23:44,17.5,TEM Otoyol G.,HGS-B
TX00019,48 KL 2082,2026-08-08 07:04,22.0,Kavacık G.,HGS-C
TX00020,76 FB 1064,2026-08-08 02:57,13.25,Fatih SM G.,HGS-A
TX00021,36 PE 2267,2026-08-24 18:36,35.75,Zincirlikuyu G.,HGS-B
TX00022,25 CP 5904,2026-08-14 13:29,8.5,Kavacık G.,HGS-C
TX00023,13 BR 1890,2026-08-08 06:12,44.0,15 Temmuz Köprüsü,HGS-A
