islem_id,durum,hata_tipi,detay
TX00001,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 33.0 saat
TX00002,UYUSTU,-,-
TX00003,UYUSMUYOR,MUKERRER_KAYIT,Bankada 2 kez tekrar etmiş
TX00004,UYUSTU,-,-
TX00005,UYUSTU,-,-
TX00006,UYUSTU,-,-
TX00007,UYUSTU,-,-
TX00008,UYUSTU,-,-
TX00009,UYUSTU,-,-
TX00010,UYUSTU,-,-
TX00011,UYUSMUYOR,MUKERRER_KAYIT,Bankada 2 kez tekrar etmiş
TX00012,UYUSTU,-,-
TX00013,UYUSTU,-,-
TX00014,UYUSTU,-,-
TX00015,UYUSTU,-,-
TX00016,UYUSTU,-,-
TX00017,UYUSTU,-,-
TX00018,UYUSTU,-,-
TX00019,UYUSTU,-,-
TX00020,UYUSTU,-,-
TX00021,UYUSTU,-,-
TX00022,UYUSTU,-,-
TX00023,UYUSTU,-,-
TX00024,UYUSTU,-,-
TX00025,UYUSMUYOR,MUKERRER_KAYIT,Bankada 2 kez tekrar etmiş
TX00026,UYUSTU,-,-
TX00027,UYUSMUYOR,TUTAR_FARKI,"HGS: 13.25 TL, Banka: 16.25 TL (fark: 3.0 TL)"
TX00028,UYUSMUYOR,TUTAR_FARKI,"HGS: 17.5 TL, Banka: 15.0 TL (fark: 2.5 TL)"
TX00029,UYUSTU,-,-
TX00030,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00031,UYUSTU,-,-
TX00032,UYUSTU,-,-
TX00033,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 14.0 saat
TX00034,UYUSTU,-,-
TX00035,UYUSTU,-,-
TX00036,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 41.5 TL (fark: 2.5 TL)"
TX00037,UYUSTU,-,-
TX00038,UYUSTU,-,-
TX00039,UYUSTU,-,-
TX00040,UYUSTU,-,-
TX00041,UYUSTU,-,-
TX00042,UYUSTU,-,-
TX00043,UYUSTU,-,-
TX00044,UYUSTU,-,-
TX00045,UYUSTU,-,-
TX00046,UYUSTU,-,-
TX00047,UYUSTU,-,-
TX00048,UYUSTU,-,-
TX00049,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00050,UYUSTU,-,-
TX00051,UYUSTU,-,-
TX00052,UYUSTU,-,-
TX00053,UYUSTU,-,-
TX00054,UYUSTU,-,-
TX00055,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00056,UYUSTU,-,-
TX00057,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 45.5 TL (fark: 1.5 TL)"
TX00058,UYUSTU,-,-
TX00059,UYUSTU,-,-
TX00060,UYUSTU,-,-
TX00061,UYUSTU,-,-
TX00062,UYUSMUYOR,TUTAR_FARKI,"HGS: 22.0 TL, Banka: 17.0 TL (fark: 5.0 TL)"
TX00063,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 19.0 saat
TX00064,UYUSTU,-,-
TX00065,UYUSTU,-,-
TX00066,UYUSTU,-,-
TX00067,UYUSTU,-,-
TX00068,UYUSTU,-,-
TX00069,UYUSTU,-,-
TX00070,UYUSTU,-,-
TX00071,UYUSTU,-,-
TX00072,UYUSTU,-,-
TX00073,UYUSTU,-,-
TX00074,UYUSTU,-,-
TX00075,UYUSTU,-,-
TX00076,UYUSTU,-,-
TX00077,UYUSTU,-,-
TX00078,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00079,UYUSTU,-,-
TX00080,UYUSMUYOR,TUTAR_FARKI,"HGS: 22.0 TL, Banka: 17.0 TL (fark: 5.0 TL)"
TX00081,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 47.0 TL (fark: 3.0 TL)"
TX00082,UYUSTU,-,-
TX00083,UYUSTU,-,-
TX00084,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 25.0 saat
TX00085,UYUSTU,-,-
TX00086,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 6.0 TL (fark: 2.5 TL)"
TX00087,UYUSTU,-,-
TX00088,UYUSTU,-,-
TX00089,UYUSTU,-,-
TX00090,UYUSTU,-,-
TX00091,UYUSTU,-,-
TX00092,UYUSTU,-,-
TX00093,UYUSTU,-,-
TX00094,UYUSTU,-,-
TX00095,UYUSTU,-,-
TX00096,UYUSTU,-,-
TX00097,UYUSTU,-,-
TX00098,UYUSTU,-,-
TX00099,UYUSTU,-,-
TX00100,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 3.5 TL (fark: 5.0 TL)"
TX00101,UYUSTU,-,-
TX00102,UYUSTU,-,-
TX00103,UYUSTU,-,-
TX00104,UYUSTU,-,-
TX00105,UYUSTU,-,-
TX00106,UYUSTU,-,-
TX00107,UYUSTU,-,-
TX00108,UYUSTU,-,-
